docs,topic,viewpoint,words,perspective,sum_topic
"It is killing innocent life. Would you kill a newborn baby? I would think not. God says in Proverbs 31:8, ""Open your mouth for the dumb in the cause of all such as are appointed to destruction."" He has a plan for all people, when you chose abortion, you ruin God's plan for our world.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
I think abortion is wrong because you are killing a human being. God told us not to murder but we do it everyday. Also I think it's cruel and heartless how they kill the baby. Why are we even killing them? They never did anything to us in order to deserve death. Parents just think the babies guilty for being alive but your the one who made it(with the exception of your husband or boyfriend),4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
These little babies don't even get a chance to feel the wind in their faces or the cool breeze in their ears.  You are practically murdering a baby.  I have some sympathy for the woman who can't conceive for medical reasons or if they are raped.  Being a Christian in strictly says no to this.  Don't be a murderer!,4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"Abortion is like killing someone and taking away a baby's chance to live. It is aginst God's will and therefore should not be allowed. Most people think that killing a baby is no big deal, but it is. God has a plan for everyone, even for an unborn baby that is not fully developed. Even if the baby was an ""accident"" he still has a plan. And if you think getting raped and not wanting the baby is an excuse, it shouldn't. Besides, rape results in pregnancy less than 1% of the time. Not only does abortion hurt the baby, but the mother as well. Even if she's a teen, abortion leaves a negative impact on the Mother's life.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
It's not about the population and the money of the country it is about the life of an angel that is created by God. You make the process of making a baby then you have a responsibility to that baby. Then why do you need to kill innocent angel such as baby.,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"A lot of people say that abortion is the only way out of a sticky situation you might get yourself into. Well, it's not. Adoption is ALWAYS an option. Yeah it might be an annoying, aggravating     9 month wait, but if I had the option of weather I would want to bear the guilt of giving a baby up or killing a baby that could of been something amazing, I would definitely choose adoption. When you look at the amount of women abortion saves vs the amount of babies that it prevents from living on this planet, I think it would be worth losing 12 women to save 100,000 babies.   Seriously abortion prevents the life that baby could have! Where would we be today if Benjamin Franklin's mom would of aborted him?   Exactly. There would be no electricity. That baby that you want to abort could be something in this world. Even if you debate weather the fetus is considered a baby or not, do you really want to ruin the chances of a beautiful baby? Think about your life. Think of the thought of never ever being born. Do you mean anything to anyone? Because even if you don't you do to God. If you were never born, that person you mean so much to wouldn't even know you.   Even if   you do t mean something to the world, you do mean the world to someone out there. If are debating weather the term ""murder"" should be used, just go look   the definition up.   It's killing a baby.   If you say that the bible says murder is ok, well then you need to do some studying.   Is murder ok? No, no it is not.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"God Hates Abortion He created that Living person and you killing it WOW! You are just a crazy person full of hatred and evil. Don't ever say ask this kind of question again. God loves you don't forget that but listen for his voice he created that baby infant don't kill it, Please",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Human life, animal life...All life is sacred.   You dog's life is as sacred as your life.   Because all life is sacred.   God created ALL life.   
When you take the life of a fetus or an animal you are committing a crime against God.
God gave us grinding teeth for plants , fruits and nuts.   The human body does NOT require animal tissue to live.   Plenty of people live vegetarian or vegan lifestyles.
Stop killing animals.   It's murder",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
Killing any thing that breaths or has a beating should be recognized as murder even chickens and all the other animals we eat as food. This world is disgusting God would not have wanted people to kill poor innocent baby's. Pray for all the children that have been aborted to be born again🙏🏼,2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"You do not kill what god created because of your mistakes. Unless it is because of health problems etcetc, it is not morally right and it will leave an impact on both the father and mother. You do not know what you get yourself into when you do something like this.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Abortion is murder no ifs, ands, or buts about it. Would God kill you just because you were a mistake? No, I think not. We all make mistakes, but abortion should not be an option as to someone not having a child for all of that give the baby up for adoption. Anyone who couldn't have children would love to have your baby.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Abortions is just wrong like taking drugs and smoking etc.!   It is written in all holy books that you shall not murder, also that they shall give a chance to everyone to live in this world, because we all have the rights! You are not god, therefore you cannot decide to take away life or give life. That is up to god. You do not control people, in the same way you are not powerful why take away the lives of innocent human beings? You will not like it if i took away your life before you where even born. Why do that someone else. This world is a test and every single human should have the right to live, because god gave them that chance don't take that away from them.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"We are gods children and he made us for a purpose, and the babies in a stomach ready to be born, they were there for a reason they are not useless. Killing babies is murdering a young innocent life that was going to be an amazing child. If people keep aborting children, the more they sin. Stop abortion there is no reason to kill small babies if people do not want the babies, push through the pain and put them up for adoption. So remember: ADOPTION NOT ABORTION",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"STOP ABORTION/ SAVE LIFE!! WHEN YOU HAVE AN ABORTION YOU ARE KILLING A HUMAN BEING. YOU ARE PHYSICALLY, MENTALLY, AND SPIRITUALLY HURTING YOURSELF.   ""BEFORE I FORMED YOU IN THE WOMB, I KNEW..."" -God YOU BREAK God's heart when you have an abortion. You will regret having a abortion     mentally, physically, and spiritually",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
You have no right to kill a child everyone deserves a life they deserve is you are not god you should not have the right to do it or even think about doing it how would you feel if your parents did not have you and got an abortion how would you feel about that,3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"God calls us to be stewards of our time, talent, and treasure. Understanding that God makes no mistakes and plants the seed of a child can further influence a woman toward life even if she decides on adoption. The choice of life should be the only option. In addition, understanding that the amount of babies aborted since the 1970s could populate a small country should be good enough reasons abortion should be illegal. God blesses people in unexpected ways, however trusting that He is in control further supports and gives confidence to the woman who chooses life. Pregnancy termination is wrong from the moment of conception. God reminds women who choose abortion about their sin through a variety of life complications created by this action.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"I admit I aborted and I hurt soo much for doing so.
I can no longer have babies my choice. 
I do have 4 children today and I NEVER want them to make that same mistake. God can take my kids for what I have done but I truly asked for forgiveness and till this day my kids are grown adults. It's killing period! I am ashamed 
God is the giver of life who are we to take it from him",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"God made that baby.   Whether or not the mother wants the baby, she needs to realize they are a living being created by God. The only difference between her and that baby is she is more developed, her size, and the baby has no say in what is to happen to them.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"Abortion has been referred to as today's holocaust. You do not have the right to kill the baby that God has blessed you with. Abortion, no matter the circumstances, is murder. There is a reason you bear child, and if you don't want the child then place him or her up for adoption. There are many families who would love to be blessed with your child and can not have one of their own for some reason. I believe that anyone who has an abortion should be treated as a murder, and be sentenced to jail time for murdering a child.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"You very well may also be defying God's ultimate plan. By killing that baby, you are killing one of God's children, of course, your (or one of) child(ren) and not even giving the baby a chance to show you how important they are in your life and the chance to show their purpose in God's plan! Jeremiah 1:5 tells us that God knows us before He forms us in the womb. Psalm 139:13-16 speaks of God’s active role in our creation and formation in the womb. Exodus 21:22-25 prescribes the same penalty—death—for someone who causes the death of a baby in the womb as for someone who commits murder. This clearly indicates that God considers a baby in the womb to be as human as a full-grown adult. For the Christian, abortion is not a matter of a woman’s right to choose. It is a matter of the life or death of a human being made in God’s image (Genesis 1:26-27; 9:6).",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Your Killing a Baby a Human that might come up with the cure for cancer. So those people out there today that believe abortion is right, So your saying that I can kill a 2 year old compared to a 12 year old did you know they are both humans wow. How about we stop listening to what the world says we should do and listen to what God says we should do. I'm guessing you ok with everyone getting shot and killed cause you ok with murder all you non-believers better think.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Abortion is wrong because it is killing an innocent child. If abortion is more widely accepted then other rules for murder could become more lenient.   It is also against religion; if we are ""one nation, under God"" then why can we kill and hurt Gods creation? It is murder and shouldn't be allowed.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
A girl should think 1000 times before having sex. I don't understand how decision of having abortion is easy for them. A girl is not the one who think about whether she should give life to baby or not but it's the God to decide a child's life and if god has gave a life to human being then he is the one to give him or her a happy future.,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Your killing a baby Ifs horrible your killing that tiny little baby inside you. That's your future don't just chuck it away. You have to go through so much pain. You will regret it big time i'm telling you.   
The Bible says in the 6th commandment that we shall not kill.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"This is a gift from God you are terminating, you do not know what are the outcomes of the baby. This is totally insane and showing that you can take a bribe to kill a human. Why don't you just adopt the baby to those who need them in their lives?",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"God created women with special design.   His purpose was for them to be fruitful and multiply.   Having a baby and then killing it is just as bad as marrying someone and then killing them.   It's murder!   This is not what God wants.   The bible says ""Thou shalt not kill!""   Women do have a right to their own bodies, but when it comes to another's body, being the baby's, they have no right over that.   If women don't want to have kids, then they shouldn't have any right to men.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Under law, murder is illegal. According to the Bible Psalms 51:5 says, ""Surely, I was sinful at birth, sinful from the time my mother conceived me."" The moment a human being is created it has sin and sin is recorded at conceived which means that the moment a baby is conceived it is a human life.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"We all have heard the argument that abortion should be legal because only religious groups are against. We hear many cry about the separation between church and state. But I want everyone to think about something: In the Bible, in the Ten Commandments, it says ""thou shalt not murder."" And here in the US, murder is obviously illegal. Why? Because it's morally wrong, whether or not it is also associated with religion. The same should be true about abortion. It is wrong not because it is in the Bible, but because it is the murder of an innocent child which is always wrong, no matter what you believe in.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"Some say that they did not want the baby and some one raped them causing them to be pregnant. You have to think though, does killing a baby erase the rape. We don't cure a person by killing a life. We also don't avoid the reality of another human being. In the bible it says you shall not murder so if you murder a baby out of the womb it is just like killing it from the inside. I have a lot more to say but this is some of my opinion. This is written by a 13 year old too. Its not right",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Seriously, it's not your body, so don't worry about it. I don't get why everyone is trying to force motherhood on women, did you know that 140 million children worldwide are orphans? Or how about that 100 million homeless children are living in the streets around the world. 250,000 children die every week from diseases and malnutrition. 2 million children are objects of sexual abuse - child pornography and demand for child prostitutes has increased globally. . . Maybe we should worry about those actually LIVING and BREATHING than a clump of cells with no awareness of what's going on around it.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"People shouldn’t be allowed to interfere with other people’s choices. A fetus is not a baby, A fetus cannot feel pain until the third trimester feeds off of the mother’s body. If aborting was wrong. Then Killing animals is worse because they actually feel pain. And I don’t see anyone willing to pay up for these fetuses to become functioning members of our society.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"Late term abortions are distasteful. Immoral even. Should probably even be illegal barring certain circumstances. Once we start talking about what life is however, and even further with, ""what is a human life?"" and for me, the abortion discussion changes completely. I do not believe in a soul, so my view does not reflect the majority, but it does reflect some. What makes us human, in my opinion is our ability to think and comprehend. For me anything before then is not different than any other distasteful act we humans commit in the act of convenience.   Roughly 24-28 weeks is when we start developing the neural capacity for consciousness http://www.Scientificamerican.Com/article.Cfm?Id=when-does-consciousness-arise
I think that this is a far better indicator of human life that a heart beat, being that we regard brain waves to be the true indicator of death as well considering we can artificially continue a heart beat.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"In my opinion, the foetus is dependent upon the life of the mother and therefore is part of her body until it is born and the umbilical cord is cut, resulting in the baby taking in its own food and vitamins. If a person cuts their arm off, do people say ""Oh no, poor arm cells, you murdered them!""?. No.
The argument that a foetus is a a living being is, in my opinion, ludicrous (granted, it is scientifically alive, but I don't believe it is morally alive). If a pregnant woman attempted suicide, would she be put behind bars for attempted murder of the foetus? No.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Murder will only ever be murder if it takes away life.
A fetus is no more alive then an egg. 
It's not a baby, it's not a life, it's not murder.
Even if it was technically murder, if something has no senses, feelings, desires, then how can you take it's life?",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"AN ABORTION IS THE DECISION OF THE MOTHER NOT THE GOVERNMENT!   People who get abortions are not killers. You simply cant not ""kill"" someone that is not alive to begin with. Most women get and abortion BEFORE the fetus even develops lungs to breathe or a heart beat and the last time I checked both are needed to be considered alive.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"Murder is wrong, but is abortion murder? No. It is not. Abortion is not murder. It is murder if it is the killing of a human being, but the fetus is not a human being yet. Abortion does not kill an actually human being. It's like chicken eggs. You're not killing a baby chick that still has not developed in its egg. It's the same for abortion. It's not murder if it's not technically a human being yet.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"The only arguments the anti-choice can seem to find are appeal to nature and appeal to emotions, both well-known to be fallacies. It's also sometimes said that abortion can lead to medical complications, but can I not say the same about childbirth? Fetuses are, by definition, parasites, not human beings.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Many make the claim that abortion is murder because it's killing living cells. If that's the case, then men commit genocide every time they masturbate, as they're killing several thousands of living sperm cells; women are committing murder every time they have their periods, as they're flushing a living egg. People commit murder when they exfoliate their face as they're killing millions of living skin cells. If you're going to make the argument that it's murder because you're killing living cells, then you're a murder by your own right.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"A main headline I see when I look up, ""is abortion wrong"" is that it's against the bible. 
Last I checked, separation of church and state was a thing. The church should not be able to rule over people who don't belong to it. Having an abortion is the same thing as pulling the plug for a person in a coma or ie braindead. Fetuses are humans but they aren't people however. They can't think, rationalize, come up with conclusions like we can.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
The baby is growing inside of the woman and without the woman the baby would die. Those of you who say that the baby has a right to its body etc. A woman has the right to control whats happening in her body. When a fetus can walk out and develop on its own without taking over a women's body then it would be wrong to kill it.,3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"If someone willing chooses to get pregnant, than I have a hard time seeing an abortion as anything other than murder. However, if it comes as a result of rape, then it's completely moral. Look--a zygote cannot think, cannot feel pain, and therefore is not a person. As for anyone using the ""what if it was you"" excuse, my answer is that I simply would not care, because I wouldn't be able to care, because I wouldn't even have a brain or a nervous system or any way of really existing! Of course, if the abortion is extremely late-term, to the point where the fetus can feel pain and actually is identifiable as a human, then I would call that murder--but you can't kill what never was even technically alive.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
A fetus is not a baby. If someone were to have a baby and then murder it yes that would be wrong. The foetus isn't even a baby yet so how is it murder? There are many circumstances in which a woman   could not be a parent. Abortion should be an option.,4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"Also, in the legal time period allowed for abortion, the fetus is not legally classified as human. So no you're not killing a life at all. You're destroying a cell, like your body does every day of your life just as your body makes new cells every day.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"Because duh i mean c'mon seriously tho fetuses can't feel or think of breathe or anything but the woman who is pregnant can and if she decides to get an abortion then she probably will, legal or not. Making abortions legal tho makes it safer for the woman and her life is more important than an unborn child's",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
Yes. It must stay legal. Women can not have bodily autonomy without the option of abortion. Fetuses are not formed enough to know that they are people or that they exist. They are a collection of cells who have not yet formed consciousness. You can't tell someone what they have to do with their organs to save a life. The uterus is no exception. It is simply wrong to force a woman to carry something inside of her that she doesn't want inside of her.,0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Abortion is not murder. See, the thing is, a heartbeat does not mean you are alive. Life is determined by electroencephalogram (EEG). If you have lost EEG, this means you are 'brain dead', which is the legal and scientific definition of death. Therefore, by legal definition, a fetus CANNOT be murdered, due to the lack of EEG, it can only be removed. Sorry pro-fetus people, but this is all scientifically accurate.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"Abortion does not kill a living thinking or sentient being, just the cells.   Without the brain it is not a baby but simply the genetic material of one.   This genetic material does not make a baby though, a brain makes a baby.   Abortion is just the last possible response to preventing another being from being born, the first being not raping every single women you can find, another being wearing a condom or using spermicide.   None of these methods kill a baby, they just kill cells which die constantly anyway.   Once a baby has a brain though it has become its own person, not simply a mixing pot of D.N.A.   All of my morale values and logic say abortion is not murder, simply the last hope to not create a being that has no one ready to care for it.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"This is my personal opinion on abortion. A fetus is alive; yes but it is no more alive than the emotionless and numb skulled cows and pigs you eat. Everything is alive so by scientific definition of life, that's not enough. We eat plants and they're scientifically alive. We eat meat and they're scientifically alive. It doesn't matter if it has the 7 signs of life because we need a philosophical definition of what it means to be alive. ""Life starts at conception."" Life can have the scientific and philosophic definition but only one (scientific) starts at conception while the other (philosophical) is more so after the first trimester when they become more human being then unrecognizable sack of brainless meat. I think for the first trimester it is okay. I think under the second trimester you better have a pretty convincing reason but under the third, you're screwed and i don't think its right. Adoption is not a suitable or better alternative option so if the mother/parents are forced to have the child and they a.) cannot afford the child financially b.) cannot give them the proper love and attention c.) just don't want it a lot of the time they just end up dyfus and back in the system. Besides there's a creature inside a person that's making them sick, making them ill, and taking their nutrients, it is self defense if a woman cannot handle it. If you think abortion in cases of rape and incest is okay but not all cases, i'll call you out on not actually being pro-life but a pro-hypocrite.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"It just feels like all anti-choice folks are stepping on our toes by telling us we can't have an abortion.  They can have their sissy little opinion, but if they try to tell us we don't have any choice over our bodies, we're gonna riot for our freedom to choose.  I've never been pregnant, but if a man ever slips one past the goalie, there's no way I'm keeping it.  I'm not ruining my (already on the chubby side) body for a baby I don't want and can't support.  Snuffing out a fetus and murdering a conscious little baby is very different.  The fetus has no idea it's being killed; it feels the same way you, the reader, did in the year 1800 and will in 2350; absolutely nothing, because you weren't born in 1800, and will be long dead by 2350.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"The common argument from the pro-lifer crowd is the equating of abortion to the murder of another human being. However, that is simply not the case.

First, murder is the intentional killing of a person. From the Oxford English dictionary, murder is ""the unlawful premeditated killing of one human being by another."" The distinction of human being is important, because it is what distinguishes murder from killing. A person may swat a fly without a second thought, but the killing of another person is abhorrent. Similarly, a person may hunt animals and wild game, yet they would not shoot a person.

What makes murder wrong is that is is the killing of a being that is aware, sentient, and intelligent. Killing a being that is aware of its own existence and mortality is a cruelty that goes unmatched. It is the being's sentience that defines the cruelty, however. A fly or other simple animal has no sentience to speak of, and therefore is not hurt or traumatized through nonexistence.

The fetus in the first trimester is not aware nor does it even have the capabilities of awareness or feeling. How then can abortion be cruel if a fetus cannot possibly be aware of it? By definition, if a fetus is unaware of abortion, then it cannot be cruel. Though the fetus may be alive and human, it is not a person anymore than the cells in my arm are a person. A person requires sentience, something the fetus simply does not have.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"1. Sorry for any grammar or spelling mistakes 
2. Implying that it isn't just a woman's body is true however that fetus (up untill 8 weeks so i will call it that) is not independent meaning it still depends on another body. So yes she has the right to abort it. Even dead people have the right to decide what is done with their body after they die. But a woman cant decite what they do with theirs. She has full controll over what she does with that baby up untill it is independed.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"The baby as a fetus is not conscious yet so its not really alive yet, so the women getting abortions are in fact not heartless killers. I'm not a woman so obviously I can't argue like any woman who would need an abortion but a baby could ruin a young mothers life who isn't ready for a child.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"A baby and an unborn fetus are not the same thing, according to the constitution something is not alive until it is born. So an unborn fetus by the constitution is not alive. Although some religions may say differently religion is not what our law is based on. I am not saying that you need to get an abortion I am just saying that it is not unhuman and a woman should be able to do what she wants with her body.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Abortion, by our current legal and medical understandings, isn't wrong, and there's a lot of ignorance floating around on the subject, and a lot of intentional misinformation too. (like this wonderfully biased picture in the opinion head)

Neither science nor religion can come to a consensus on when a fetus becomes a human, but science makes a very good argument that viability, at it's earliest, is 24 weeks. 

To suggest that it's still part of the mothers body until 24 weeks but than refuse her right for bodily autonomy is to grant more rights to corpses than we do to women. 

I don't want to live in a society that places more rights on my dead body than it would on a healthy breathing woman, and I hope you don't either. 

Unless there's compelling evidence to suggest a fetus becomes viable before that timetable, this is my reasoning.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"According to most ""pro-life"" people, ""abortion is murder"". To summarize my response to this, a fetus isn't alive in any state therefore abortion can not be murder since murder is the taking of a person's life. Even if the fetus was truly alive, it still wouldn't be human yet. Also, on the moral debate, nothing is totally wrong unless literally everyone agrees that, that thing is wrong. This is because morals are just opinions, and obviously people agree that abortion isn't wrong or murder, therefore abortion can't be totally wrong.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"Yes, having abortion after a child has began to develop in your wound is and should be considered murder, but an embryo that has no feelings or desires, or that even exists yet? If a women unexpected has a child, it should be up to them if they don't want to keep that child.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"One thing about pro-lifers I don't understand is, they talk about how the fetus has a heartbeat, they talk about how the fetus is 'living', but do they talk about how the woman is also a person? With a heartbeat? If abortion is murder, then wouldn't using birth control also be plotting murder because it's taking away the chance of   a baby being born? If abortion is murder then masturbation is genocide because the sperm can be used to make babies? A woman's body, her   choice.   If a fetus was a living person than why do politicians even consider a rape/incest exception.   When they count the population, they do not count a pregnant woman as two people, rather one person. If abortion is murder than why do doctors put the safety of the mother before the child's? The list goes on, but one thing which I've noticed is that most of pro-life claims are based solely on religion, and most of them are men who will never understand what it feels like to be pregnant, who will never understand what challenges women face due to pregnancy.
Absences isn't a form of birth control, why should unwanted pregnancy be a punishment for simple (consensual) pleasure ?",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"There is a difference between a fetus and a baby.
A fetus does not breath or eat and is within the mother and dependent upon her for oxygen and nourishment. It does not feel pain until the 24th week of pregnancy   (5 months). The brain does not become active until the 28th week of pregnancy.   This means it can't even think. It is not a person.
A baby is a birthed living creature which has been born into the environment and detached from the support systems of the mother. It must breath on it's own for oxygen, and consume foods to digest them for independent nourishment. It can feel pain, happiness, sadness,   frustration,   etc. It is a human life.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"A lot of people think of fetuses as a human life, I disagree. What makes us human is that we are capable of advanced thought, we are as a species self aware. Fetuses do not possess human self awareness, so ultimately I don't see any difference to killing a fetus, and killing a cow or chicken. If you don't want to have the baby, why not abort?",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"The abortion debate boils down to religion.  There is no scientific reason to believe that a  fetus is a living human being - it is simply a group of cells.  Until the fetus is viable outside of its mother it is part of her body, and hers to decide the fate of.  To bring your own personal religious beliefs to the table is irrelevant, since in this country we have separation of church and state, so aboprtion is and should remain so.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"The fetus frankly doest have the characteristics for personhood untill very late in the pregnancy. If we were to give fetuses personhood rights, we would also have to give almost every vertebrate personhood rights. Take the lab rat as an example, they have brains larger than the early fetus itself, yet we still kill millions of them to harvest antibodies and conduct research. It is clear that humanity doesnt simply value things that live, they value what is emotionally complex, and conscious.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"You will debate legalizing the removal of a creature that hasn't even been born yet,   but don't go saving those people that try to kill themselves. Either way it's your body, so why do you care more about someone that isn't even born yet more than someone that's been living?",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"The law against abortions after the third trimester is justified, at that point the baby is more human then not. However, abortion in the first six months is fine. A fetus is not a person, nor is it a human, it is an organism and an undeveloped entity that is not capable of voicing it's opinion on it's own death. All those ""let the babies choose"" adds are hogwash, they are stating that even single-celled organisms are people, and that is just nonsensical poppycock. It is not a punishment to the fetus to terminate a pregnancy, nor is it wrong, it is the parent's decision whether they want to have a child yet. If abortion were to be banned, what about all the rape victims or teenagers who get pregnant by accident, and then have to make their way through high school with a child in their arms? Criminalizing abortion should never be an option on the table, it is a perfectly justafiable medical procedure that some fictional man sitting in the clouds says is wrong.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
